CASEID,G1NUMBER,H1JEALUS,H2LIMIT,H3KNOWNG,J1HIT,J2THROWN,J3PUSH,J4SLAP,J5KICK,J6OBJECT,J7BEAT,J8CHOKE,J9KNIFE,J10GUN,J11SEX,POWER,HARASS,B1AGE,AGEDISP,STDETAI,SAMESEXR,N11DRUGS,N12ALCHL,N13SUHIM,N16CHILD,N17ARRST,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N8JEALUS,N10CPBLE
108395,9999,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,3,18,4,1,9999,1,1,2,2,2,2,2,2,2,2,2,2,2
108397,9999,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,5,30,4,2,9999,2,1,2,2,1,2,1,1,1,1,2,1,1
108399,9999,1,2,1,2,1,1,2,2,2,2,1,2,2,2,3,2,27,1,1,9999,2,2,2,2,2,2,2,2,1,2,2,2,2
108443,9999,1,2,1,1,1,1,1,2,1,2,1,2,2,2,3,5,19,1,2,9999,2,1,2,2,1,2,2,1,1,2,1,2,2
108444,9999,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,3,18,1,5,9999,2,2,2,2,1,1,1,2,2,2,2,2,2
108456,9999,1,2,1,1,2,1,1,1,2,2,1,2,2,1,2,8,18,4,5,9999,2,2,1,2,1,2,2,2,1,1,2,1,1
108460,9999,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,18,1,5,9999,2,2,2,2,2,2,2,2,2,2,2,1,1
108525,9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,36,1,1,9999,2,2,2,2,1,1,1,1,1,1,1,1,1
108562,9999,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,7,32,4,1,9999,1,1,1,1,2,2,2,1,2,2,1,1,1
109304,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,22,1,2,9999,2,2,1,2,2,3,3,3,3,3,3,3,3
109327,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,41,1,1,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
