CASEID,INVIEWN,B1AGE,AGER,AGERR,B2EDU,HIGHSCHL,B3EMPLY1,B3EMPLY2,B3EMPLY3,B3EMPLY4,EMPLOYR,UNEMPLOY,HOMEMAKR,B3HOURS,B3VHOUR,B3STUDNT,B4CHANGE,B5CODE1,B5DATE1,B5CODE2,B5DATE2,B5CODE3,B5DATE3,B6RACE,RACER,B6HSPNIC,B6OTHER,B7BIRTH,B7PLACE,B7PLACER,F14CHICG,B8MARITL,MARRIED,SINGLE,SCRSTAT,SCRSTATR,FINSTAT,FINSTATR,ABUSED,CHNGSTAT,CHGTONAW,NAWYEAR,RELAC1,LENGTHC1,C1SITUAT,PARTNERS,PABUSE,SPANISH1,INMONTH,INYEAR,INDAY
108395,1,18,1,1,  3,  0,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,1,1,1,1,2, 1,1998,27
108397,1,30,3,2,  7,  1,  3,9999,9999,9999,1,0,0,  25,99,9999,  1,  14,23,9999, 1,9999, 1,998,9,1, 1,998,998,998,  1,998,999,999,  1,  1, 1,1,1,1,99,99,  5,2,1,1,1,2, 1,1998,27
108399,1,27,3,1,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 15,  2,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,5,1,1,1,2, 1,1998,30
108443,1,19,1,1,  3,  0,  7,9999,9999,9999,3,0,0,9999,99,   2,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,1,1,1,2, 2,1998, 9
108444,1,18,1,1,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   8,20,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,2,1,1,1,2, 2,1998, 9
108456,1,18,1,1,  4,  1,  7,9999,9999,9999,3,0,0,9999,99,   1,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,3,2,1,2, 2,1998,10
108460,1,18,1,1,  3,  0,  7,9999,9999,9999,3,0,0,9999,99,   1,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,3,1,1,1,2, 2,1998,26
108525,1,36,4,2,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  4,  0,  0,  1,  1, 1,1,1,1,99,99,  5,4,4,3,3,2, 3,1998,13
108562,1,32,4,2,  5,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,12,   1, 4,9999, 1,  1,1,1, 1,  1, 15,  2,  5,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,5,1,1,1,2, 3,1998,16
109304,1,22,2,1,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,16,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 1,  6,5,9,9,9,2, 1,1998, 6
109327,1,41,5,3,  3,  0,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 2,  5,5,9,9,9,2,12,1997,29
109335,1,37,4,2,  3,  0,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  5,1,9,9,9,2,12,1997,29
109400,1,34,4,2,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  5,2,9,9,9,2, 1,1998,30
109455,1,18,1,1,  5,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   1,16,   2, 4,   7, 2,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 2,2,2,2, 1,99,  9,2,9,9,9,2, 2,1998,10
109564,1,20,1,1,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   8,12,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 1,  6,2,9,9,9,2, 3,1998,20
109565,1,20,1,1,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 2,2,2,3,99, 1,  5,1,9,9,9,2, 3,1998,20
118051,1,41,5,3,  4,  1,  4,   6,   7,9999,1,0,0,9999, 4,   2,  1,   7,26,9999, 1,9999, 1,  1,1,1, 1,  1, 23,  2,  2,  2,  1,  0,  3,  3, 1,1,1,2,99,99,  1,6,1,1,1,2, 9,1997,15
118058,1,28,3,1,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  2,  1,  0,  1,  1, 1,1,1,1,99,99,  1,3,1,1,1,2, 9,1997,25
118175,1,38,4,2,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  3,  3, 1,1,1,2,99,99,  5,6,1,1,1,2,10,1997,24
118176,1,22,2,1,  5,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,4,1,1,1,2,10,1997,24
118177,1,35,4,2,  5,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,16,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,6,1,1,1,2,10,1997,24
