CASEID,INVIEWN,ABUSED,RACER,D1ALONE,NOHOME,RCHANY,RCHILD17,RCHILD18,DECEASED,D1INHH,D2CHILDH,RCHTOT,D3CHIL17,D3TOT12,D3TOT17,D3TOTAL,D3TOTALR,D3RCH18,D3RCHILD,D3RCHILA,D3RCHILF,D3RCHILT,D3SEX1,D3YEAR1,D3MNTH1,D3REL1,D3SEX2,D3YEAR2,D3MNTH2,D3REL2,D3SEX3,D3YEAR3,D3MNTH3,D3REL3,D3SEX4,D3YEAR4,D3MNTH4,D3REL4,D3SEX5,D3YEAR5,D3MNTH5,D3REL5,D3SEX6,D3YEAR6,D3MNTH6,D3REL6,D3SEX7,D3YEAR7,D3MNTH7,D3REL7,D3SEX8,D3YEAR8,D3MNTH8,D3REL8,D3SEX9,D3YEAR9,D3MNTH9,D3REL9,D3SEX10,D3YR10,D3MTH10,D3REL10,D4ADULT,D4NADULT,LIVEWITH,D5SEX1,D5AGE1,D5REL1,D5SEX2,D5AGE2,D5REL2,D5SEX3,D5AGE3,D5REL3,D5SEX4,D5AGE4,D5REL4,D5SEX5,D5AGE5,D5REL5,D5SEX6,D5AGE6,D5REL6,D5SEX7,D5AGE7,D5REL7,D5SEX8,D5AGE8,D5REL8,D5SEX9,D5AGE9,D5REL9,D5SEX10,D5AGE10,D5REL10,D6KIDOUT,KIDOUT17,KIDADULT,KIDOUTTO,D7SEX1,D7YEAR1,D7MNTH1,D7SEX2,D7YEAR2,D7MNTH2,D7SEX3,D7YEAR3,D7MNTH3,D7SEX4,D7YEAR4,D7MNTH4,D7SEX5,D7YEAR5,D7MNTH5,D7SEX6,D7YEAR6,D7MNTH6,D7SEX7,D7YEAR7,D7MNTH7,D7SEX8,D7YEAR8,D7MNTH8,D7SEX9,D7YEAR9,D7MNTH9,D7SEX10,D7YR10,D7MTH10,D8JNLFT,D9CODE1,D9CODE2,D9CODE3,D9DATE1,D9DATE2,D9DATE3
108395,1,1,1,  2,  2,  1,  1,  0,0,  3,  1,  1,   1,  1,  1,  2,  2,  0,  1,  0,  0,  1,   2,  14,9999,   4,   2,   2,9999,   1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,  0,   2,  36,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
108397,1,1,9,  2,  2,  0,  0,  0,0,  4,  1,  0,   1,  1,  0,  1,  1,  0,  0,  0,  0,  0,   2,   4,9999,   4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   3,  0,   2,  38,   3,   2,  28,   3,   1,  22,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   4,9999,9999,11, 1, 1
108399,1,1,1,  2,  2,  1,  6,  0,0,  6,  1,  6,   1,  6,  0,  6,  4,  0,  6,  0,  0,  6,   1,  12,9999,   1,   1,   9,9999,   1,   1,   8,9999,   1,   1,   5,9999,   1,   2,  11,9999,   1,   2,   4,9999,   1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,   0,  0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
108443,1,1,1,  2,  2,  0,  0,  0,0,  3,  1,  0,   1,  0,  1,  1,  1,  0,  0,  0,  0,  0,   1,  15,9999,   4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   2,  0,   1,  44,   3,   2,  40,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
108444,1,1,1,  2,  2,  1,  1,  0,0,  7,  1,  1,   1,  6,  0,  6,  4,  0,  1,  0,  0,  1,   2,  12,9999,   4,   1,   9,9999,   4,   1,  12,9999,   4,   1,  11,9999,   4,   1,   2,9999,   4,   1,   1,   7,   1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,  0,   2,  66,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
108456,1,1,1,  2,  2,  1,  1,  0,0,  1,  1,  1,   1,  1,  0,  1,  1,  0,  1,  0,  0,  1,   2,   2,9999,   1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,   0,  0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   4,9999,9999,15, 1, 1
108460,1,1,1,  2,  2,  1,  1,  0,0,  6,  1,  1,   1,  4,  1,  5,  4,  0,  1,  0,  0,  1,   2,   2,9999,   1,   2,   5,9999,   4,   1,   8,9999,   4,   1,  10,9999,   4,   1,  17,9999,   4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,  0,   2,  62,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
108525,1,1,1,  2,  2,  1,  2,  0,0,  4,  1,  2,   1,  0,  2,  2,  2,  0,  2,  0,  0,  2,   1,  14,9999,   1,   2,  17,9999,   1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   2,  1,   1,  48,   1,   2,  38,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
108562,1,1,1,  2,  2,  1,  3,  0,0,  4,  1,  3,   1,  3,  0,  3,  3,  0,  3,  0,  0,  3,   2,   7,9999,   1,   2,   7,9999,   1,   2,   3,9999,   1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,  0,   2,  75,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
109304,1,2,1,  2,  2,  0,  0,  0,0,  2,  2,  0,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   2,  0,   1,  38,   3,   1,  65,   3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,   2,  0,  0,  0,9999,9999,9999,9999,9999,9999,9999,99999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  2,9999,9999,9999, 1, 1, 1
