CASEID,INVIEWN,ABUSED,C1SITUAT,PARTNERS,PABUSE,L1SAME,L2NAME,L3CURRNT,L4RELATE,L5TIME,L5YEARS,L5MNTHS,L5DATE,L6RELATE,L6OTHER,L7TIME,L7DATE,L7YEAR,L7END,L7BEGIN,L7MNTH,L7OTHER,L8ALL,L11CURNT,L12RELAT,L13TIME,L13YEARS,L14RELAT,L15TIME,L15YEARS,L15MNTH,L16SEX,L17AGE,B1AGE,AGEDISP,L18RACE,L18HSPNC,L18OTHER,L19EDU,L20JOB1,L20JOB2,L20JOB3,L20JOB4,L20PHOUR,L20VHOUR,L20STDNT,L21CHNGE,L22CODE1,L22CODE2,L22CODE3,L22DATE1,L22DATE2,L22DATE3,L23LIVE,L24APART,L25REASN,L25RESN2,L25RESN3,L25RESN4,L26RETRN,L27REASN,L27RESN2,L27RESN3,L27RESN4,L27RESN5,L28KID,L28BYHIM,DECEASED,L28FOSTR,L29LIVE,L29LIVE2,STDETAI,STEPCHIL
108395,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 23,18,  4,  1, 1, 1,888,  9,9999,9999,9999,9999,9999,777,888,9999,9999,9999, 1, 1,1,  5,  2,   1,9999,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
108397,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 36,30,  4,  1, 1, 1,  4,  3,9999,9999,9999,  30,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  3,   7,9999,9999,9999,   1,   9,  11,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
108399,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 29,27,  1,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  2,  16,9999,9999,9999,   1,   9,9999,9999,9999,9999,  1,   2,9,9999,   1,9999,  1,  1
108443,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 22,19,  1,  1, 1, 1,  4,  9,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  2,  12,9999,9999,9999,   1,  11,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
108444,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 21,18,  1,  1, 1, 1,888,  9,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  2,   7,9999,9999,9999,   1,   5,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  5,  2
108456,1,1,3,2,1,   2,1,   2,9999,9999,9999,9999,1,   5, 1,   3,99, 3, 1, 1, 2,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 26,18,  4,  1, 1, 1,  3,  9,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  2,   7,9999,9999,9999,   2,9999,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  5,  2
108460,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 17,18,  1,  1, 1, 1,  3,  7,9999,9999,9999,9999,9999,  1,  2,9999,9999,9999, 1, 1,1,  5,  1,  10,9999,9999,9999,   1,   5,   9,  11,9999,9999,  1,   1,9,9999,   1,9999,  5,  2
108525,1,1,4,3,3,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   2,   2,9999,9999,9999,   1,   3, 6,2,  1, 35,36,  1,  1, 1, 1,  3,888,9999,9999,9999,9999,9999,777,888,9999,9999,9999, 1, 1,1,  2,  1,   1,   2,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
108562,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 40,32,  4,  1, 1, 1,  3, 17,9999,9999,9999,9999,9999,777,  1,   2,9999,9999, 5, 1,1,  2,  2,   1,   2,   3,   4,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
109304,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 19,22,  1,  1, 1, 1,  3,888,9999,9999,9999,9999,9999,777,  1,   8,9999,9999,15, 1,1,  2,  1,   5,9999,9999,9999,   1,   9,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
109327,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 43,41,  1,  1, 1, 1,  3, 13,9999,9999,9999,  30,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
109335,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 47,37,  5,  1, 1, 1,888,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
109400,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 44,34,  5,  1, 1, 1,  5,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  3,  1
109455,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 17,18,  1,  1, 1, 1,  3,  7,9999,9999,9999,9999,9999,  1,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   2,9,9999,   1,9999,  5,  2
109564,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 24,20,  1,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  5,  2
109565,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 20,20,  1,  1, 1, 1,  3,  9,9999,9999,9999,9999,9999,777,  1,  11,9999,9999,21, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
118051,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   3,9999,9999,9999,9999,9999,9999,99,1,  1, 55,41,  5,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  3,  10,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   7,9,9999,   1,9999,  5,  2
118058,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 27,28,  1,  1, 1, 1,  5,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  1,   7,  18,  15,9999,   1,   1,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
118175,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 36,38,  1,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  1,  1
118176,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 27,22,  4,  1, 1, 1,  3,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   3,9,9999,   1,9999,  1,  1
118177,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 35,35,  1,  1, 1, 1,  5,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  1,   1,9999,9999,9999,   1,   3,  11,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
