CASEID,INVIEWN,RACER,SAMESEXR,N14SUHER,N20OTHER,N11DRUGS,N12ALCHL,N13SUHIM,N15HOME,N16CHILD,N17ARRST,N18CHRGE,N18CHRG2,N18CHRG3,N18CHRG4,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N7PREGNT,N8JEALUS,N9KILL,N10CPBLE
108395,1,1,9999,  2,   2,  1,  1,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
108397,1,9,9999,  2,   2,  2,  1,  2,  1,  2,  1,   1,9999,9999,9999,  2,  1,   1,   1,   1,  2,  3,  1,   1,   1
108399,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   2,  2,  2,  2,   2,   2
108443,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1,   5,9999,9999,9999,  2,  2,   1,   1,   2,  1,  2,  2,   1,   2
108444,1,1,9999,  2,   1,  2,  2,  2,  1,  2,  1, 888,9999,9999,9999,  1,  1,   2,   2,   2,  2,  2,  2,   2,   2
108456,1,1,9999,  2,   2,  2,  2,  1,  1,  2,  1,   5,   2,   8,9999,  2,  2,   2,   1,   1,  2,  2,  1,   2,   1
108460,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  1,  1,   2,   1
108525,1,1,9999,  1, 999,  2,  2,  2,  1,  2,  1, 999,9999,9999,9999,  1,  1,   1,   1,   1,  1,  2,  1,   1,   1
108562,1,1,9999,  2,   2,  1,  1,  1,  1,  1,  2,9999,9999,9999,9999,  2,  2,   1,   2,   2,  1,  2,  1,   1,   1
109304,1,1,9999,  2,   1,  2,  2,  1,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
109327,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1,   9,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
109335,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
109400,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
109455,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
109564,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
109565,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  1,   3,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
