CASEID,MARITAL,B1AGE,AGEDISP,RACER,SEX_N,AGE_N,RACE_N,HSPNC_N,OTHERR_N,EDU_N,JOB1_N,JOB2_N,JOB3_N,JOB4_N,PHOUR_N,VHOUR_N,STDNT_N,SAMESEX,C1SITUAT,PARTNERS,PABUSE,ABUSENP,RELANAME,RELAEXFO,LENGTHTO,LENGTHON,LENGTH4,CHNGE_N,CODE1_N,DATE1_N,CODE2_N,DATE2_N,CODE3_N,DATE3_N,LIVE_N,LIVEWITH,LIVEWR,LIVNEVER,LIVALLYR,NOHOME,APART_N,APARTR,APART3,REASON1,REASON2,REASON3,REASON4,CHILDR,RETRN_N,REASONR1,REASONR2,REASONR3,REASONR4,REASONR5,CHILDCB,L28KIDSN,KIDSNUM,FOSTER_N,KIDLIV_N,KIDIV2_N,DECEASED,STDETAI,STEPCHIL
108395,  1,18,  4,1,  1, 23,  1,1,1,888,  9,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  1,1,1, 888,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,   1,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
108397,999,30,  4,9,  1, 36,  1,1,1,  4,  3,9999,9999,9999,  30,9999,777,0,1,1,1,0,  5,  0,  1,1,1,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  3,  1,1,   7,9999,9999,9999,0,   1,   9,  11,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
108399,  1,27,  1,1,  1, 29,  1,1,1,  4,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  5,2,4,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,  16,9999,9999,9999,1,   1,   9,9999,9999,9999,9999,0,  1,  2,9999,   1,9999,0,  1,  1
108443,  1,19,  1,1,  1, 22,  1,1,1,  4,  9,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  2,2,2,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  2,  1,0,  12,9999,9999,9999,0,   1,  11,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
108444,  1,18,  1,1,  1, 21,  1,1,1,888,  9,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  2,2,2,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,   7,9999,9999,9999,0,   1,   5,9999,9999,9999,9999,1,  1,  1,9999,   1,9999,0,  5,  2
108456,  1,18,  4,1,  1, 26,  1,1,1,  3,  9,9999,9999,9999,9999,9999,777,0,3,2,1,0,  6,  1,  3,2,3,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,   7,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  1,  1,9999,   1,9999,0,  5,  2
108460,  1,18,  1,1,  1, 17,  1,1,1,  3,  7,9999,9999,9999, 999,9999,  1,0,1,1,1,0, 11,  1,  3,2,3,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,  10,9999,9999,9999,0,   1,   5,   9,  11,9999,9999,1,  1,  1,9999,   1,9999,0,  5,  2
108525,  4,36,  1,1,  1, 35,  1,1,1,  3,888,9999,9999,9999,9999,9999,777,0,4,3,3,0,  2,  1,  5,2,4, 888,9999, 1,9999, 1,9999,1,  2,  1,1,  0,  0,  2,  1,  1,0,   1,   2,9999,9999,1,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  1,  1
108562,  1,32,  4,1,  1, 40,  1,1,1,  3, 17,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  5,2,4,   1,   2, 5,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  2,  1,0,   1,   2,   3,   4,1,   2,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
118051,  2,41,  5,1,  1, 55,  1,1,1,  4,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  1,  0,  6,2,4,   2,9999, 1,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  3,  1,1,  10,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  1,  7,9999,   1,9999,0,  5,  2
