CASEID,INVIEWN,NUMBER,EVNTCODE,CM1DATE,DATECOMM,CM1WEEK,CM1WEEK2
108395,1,108395000, 410,266,1, 1, 1
108395,1,108395000, 460,327,1, 1, 1
108395,1,108395000,1340,  1,1,10,41
108397,1,108397000,1020,335,1, 1, 1
108397,1,108397000,1030,483,1, 1, 1
108397,1,108397000, 220, 10,1, 1, 1
108399,1,108399000,1310,249,1, 1, 1
108399,1,108399000,1310,409,1, 1, 1
108443,1,108443000,1220,102,1, 1, 1
108443,1,108443000,1240,102,1, 1, 1
108443,1,108443000,1230,237,1, 1, 1
108443,1,108443000,1240,353,1, 1, 1
108444,1,108444000, 460,350,1, 1, 1
108444,1,108444000, 940, 83,1, 1, 1
108444,1,108444000, 480,117,1, 1, 1
108444,1,108444000,1380,353,1, 1, 1
108444,1,108444010, 460, 45,1, 1, 1
108444,1,108444010, 530, 15,1, 1, 1
108456,1,108456000, 110,259,1, 1, 1
108456,1,108456000,1380,230,1, 1, 1
108456,1,108456000,1303,268,1, 1, 1
108460,1,108460000, 830,129,1, 1, 1
108460,1,108460000, 460,  6,1, 1, 1
108460,1,108460000,1220,294,1, 1, 1
108460,1,108460000,1230,100,1, 1, 1
108460,1,108460010,1310,255,1, 1, 1
108525,1,108525000,1010, 66,1, 1, 1
108525,1,108525000,1010,169,1, 1, 1
108525,1,108525000, 450,230,1, 1, 1
108562,1,108562000, 670,247,1, 1, 1
108562,1,108562000, 610,407,1, 1, 1
108562,1,108562000, 450,164,1, 1, 1
108562,1,108562000, 670,255,1, 1, 1
108562,1,108562010, 130,473,1, 1, 1
108562,1,108562010, 460,255,1, 1, 1
118051,1,118051000, 510, 19,1, 1, 1
118051,1,118051000, 510, 99,1, 1, 1
118051,1,118051000, 810,133,1, 1, 1
118051,1,118051000, 510, 21,1, 1, 1
118058,1,118058000, 620,224,1, 1, 1
118058,1,118058000, 610,171,1, 1, 1
118058,1,118058000, 810,211,1, 1, 1
118058,1,118058000, 401,355,1, 1, 1
118058,1,118058010,1550,  1,1,41,26
118058,1,118058010,1220, 66,1,23, 6
118058,1,118058010, 601,  4,1, 1, 1
118058,1,118058010, 620,213,1, 1, 1
118058,1,118058010,1210,  1,1,47,38
118058,1,118058010, 850, 56,1, 1, 1
118058,1,118058010, 840,177,1, 1, 1
118177,1,118117000,1610,117,1, 1, 1
118176,1,118176000, 740,115,1, 1, 1
118176,1,118176000, 940,242,1, 1, 1
118177,1,118177000, 620,259,1, 1, 1
118177,1,118177000,1530, 92,1, 1, 1
118177,1,118177000, 140, 44,1, 1, 1
118177,1,118177010, 460,  1,1, 1, 1
118178,1,118178000, 140, 25,1, 1, 1
118178,1,118178000, 220,261,1, 1, 1
118178,1,118178000, 670,257,1, 1, 1
118178,1,118178000, 620,257,1, 1, 1
