CASEID,INVIEWN,IDINCID,INCIDENT,FORCED,YEAR,MONTH,DAY,DATECERT,USOBJ,KINDWEAP,KINDWEA2,WEAPON,GUNTYPE,GUNUSE,THREAT,SLAP,PUNCH,BEATING,TWEAPON,UWEAPON,FSEXONLY,MISCARG,RESTRAIN,CHOKED,PRSNT,PRSN2,PRSN3,AP,BP,CP,OP,PINJR,ALCOHOL,RDRUNK,NDRUNK,BOTHDRUN,POT,RPOT,NPOT,DRUGS,RDRUGS,NDRUGS,BOTHDRUG,SUBSTANC,SEVEREST,TOINC,INTYEAR,INTMONTH,INTDAY,DAYSTOIN,DATECOM
108395,1,108395000, 2, 0, 1997,12,  15,2,  2,99,99, 99,  0,  0,0,0,1,0,0,0,0,0,0, 0,0, 9, 9,0,0,0,0, 0,0, 0, 0,0,0, 0, 0,0,0,0,0,1, 2,  1,1998, 1,27, 43, 1
108397,1,108397000, 1, 0, 1997, 6,  28,2,  2,99,99, 99,  0,  0,0,1,0,0,0,0,0,0,0, 0,4, 0, 0,0,0,0,1, 0,2, 0, 1,0,0, 0, 0,0,0,0,0,2, 4,  2,1998, 1,27,213, 1
108397,1,108397000, 4, 0, 1998, 1,  20,2,  1, 5,99,  2,  0,  0,0,0,0,0,1,0,0,0,0, 1,4, 0, 0,0,0,0,1, 0,2, 0, 1,0,0, 0, 0,0,0,0,0,2, 4,999,1998, 1,27,  7, 1
108399,1,108399000, 1, 0, 1998, 1,   3,2,  2,99,99, 99,  0,  0,0,1,0,0,0,0,0,0,1, 0,0, 9, 9,0,0,0,0, 1,0, 0, 0,0,0, 0, 0,0,0,0,0,1, 3,  2,1998, 1,30, 27, 1
108399,1,108399000, 3, 0, 1998, 1,  27,2,  2,99,99, 99,  0,  0,0,0,0,1,0,0,0,0,0, 1,1, 0, 0,1,0,0,0, 0,0, 0, 0,0,0, 0, 0,0,0,0,0,1, 3,999,1998, 1,30,  3, 1
108443,1,108443000, 3, 0, 1997, 6,   3,2,  2,99,99, 99,  0,  0,0,0,0,1,0,0,0,0,0, 1,1, 4, 0,1,0,0,1, 1,2, 0, 1,0,0, 0, 0,0,0,0,0,2, 3,  1,1998, 2, 9,251, 1
108444,1,108444000, 1, 0, 1997, 3,  18,2,  2,99,99, 99,  0,  0,0,1,0,0,0,0,0,0,0, 0,1, 0, 0,1,0,0,0, 0,2, 0, 1,0,2, 0, 1,0,0,0,0,4, 1,  5,1998, 2, 9,328, 1
108444,1,108444000, 1, 0, 1997, 4,   7,2,  2,99,99, 99,  0,  0,0,1,0,0,0,0,0,0,0, 0,0, 9, 9,0,0,0,0, 0,0, 0, 0,0,2, 0, 1,0,0,0,0,4, 1,999,1998, 2, 9,308, 1
108444,1,108444000, 1, 0, 1997, 4,  16,2,  2,99,99, 99,  0,  0,0,1,0,0,0,0,0,0,0, 0,0, 9, 9,0,0,0,0, 0,2, 0, 1,0,2, 0, 1,0,0,0,0,4, 1,999,1998, 2, 9,299, 1
108444,1,108444000, 1, 0, 1997, 4,  25,2,  2,99,99, 99,  0,  0,0,1,0,0,0,0,0,0,0, 0,0, 9, 9,0,0,0,0, 0,0, 0, 0,0,2, 0, 1,0,0,0,0,4, 1,999,1998, 2, 9,290, 1
108444,1,108444010, 1, 0, 1998, 1,   1,2,  2,99,99, 99,  0,  0,0,1,0,0,0,0,0,0,0, 0,0, 9, 9,0,0,0,0, 0,2, 0, 1,0,2, 0, 1,0,0,0,0,4, 1,999,1998, 2, 9, 39, 1
108456,1,108456000, 2, 0, 1997, 5,  24,2,  2,99,99, 99,  0,  0,0,0,1,0,0,0,0,0,0, 0,1, 0, 0,1,0,0,0, 0,0, 0, 0,0,2, 0, 1,0,0,0,0,4, 2,  3,1998, 2,10,262, 1
