CASEID,SEVEREST,SEVERER,TOTINC,TOTINCR,RECENT,RECENTR,RECENTRR,THREATS,THREATR,SLAPPING,SLAPR,PUNCHING,PUNCHR,BEATING,BEATR,TWEAPON,UWEAPON,FORCEDSX,FORCEDR,WEAPON,GUN,KNIFE,MISCARR,RESTRAIN,CHOKED,CHILD,NDRUNK,RDRUNK,BOTHDRUN,NDRUGS,RDRUGS,BOTHDRUG
108395, 2,1,  1,  1, 43,  3,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
108397, 4,2,  2,  2,  7,  2,  0,  0,  0,  1,  1,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  1,  0,  0,  1,  0,  2,  0,  0,  0,  0,  0
108399, 3,2,  2,  2,  3,  1,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0
108443, 3,2,  1,  1,251,  5,  1,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0
108444, 1,1,  5,  3, 39,  3,  0,  0,  0,  5,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,  0,  0,  0,  0,  0
108456, 2,1,  3,  2,  3,  1,  0,  2,  2,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
108460, 2,1,  4,  2,  5,  1,  0,  0,  0,  1,  1,  3,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0
108525, 5,2, 51,  4,211,  5,  1, 20,  4, 28,  4,  0,  0,  0,  0,  0,  3,  0,  0,  3,  2,  1,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0
108562, 0,1,  3,  2, 17,  2,  0,  3,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0
118051, 0,1,  1,  1,  8,  2,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
118058, 1,1,  2,  2, 41,  3,  0,  0,  0,  2,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  0,  0
118175, 2,1,  1,  1,125,  4,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
118176, 5,2,  3,  2,  6,  1,  0,  0,  0,  2,  2,  0,  0,  0,  0,  0,  1,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
118177, 2,1,  1,  1,263,  5,  1,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0
118178, 2,1,  2,  2,235,  5,  1,  0,  0,  1,  1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  0,  0
118182, 1,1,  1,  1, 25,  2,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
118183, 3,2,  2,  2,  7,  2,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  0,  0,  0
118192, 3,2,  3,  2, 28,  2,  0,  0,  0,  1,  1,  1,  1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0
118193, 5,2,  2,  2,124,  4,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  1,  2,  0,  0,  0,  0,  0
118341, 4,2, 13,  4,  3,  1,  0,  7,  3,  2,  2,  3,  2,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,  2,  2,  8,  1,  1
118458, 5,2,  3,  2, 56,  3,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  1,  1,  1,  1,  0,  0,  0,  1,  0,  0,  2,  0,  0,  2,  0,  0
118520, 3,2,  1,  1,214,  5,  1,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0
138068, 0,1,  1,  1, 47,  3,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0
148059, 2,1,  8,  3, 12,  2,  0,  2,  2,  5,  3,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148092, 3,2,  2,  2, 54,  3,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0
148099, 5,2,  2,  2,  8,  2,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148100, 2,1,  2,  2, 39,  3,  0,  0,  0,  0,  0,  2,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148106, 4,2,  1,  1,103,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  1,  0,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0
148107, 2,1, 13,  4,  3,  1,  0,  0,  0,  0,  0, 13,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  1,  1,  0,  0,  0
148108, 1,1,  5,  3,  4,  1,  0,  0,  0,  5,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  5,  5,  0,  0,  0
148109, 2,1,  3,  2,  1,  1,  0,  1,  1,  0,  0,  2,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148110, 1,1,  1,  1,276,  5,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0
148111, 2,1,  1,  1, 23,  2,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0
148113, 5,2, 26,  4,  7,  2,  0,  0,  0,  1,  1, 24,  4,  0,  0,  0,  1,  1,  1,  1,  0,  1,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0
148115, 3,2,  8,  3, 27,  2,  0,  0,  0,  7,  3,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  8,  3,  3,  8,  0,  0
148118, 3,2,  1,  1,311,  6,  1,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  1, 99,  0,  0,  0,  0,  0,  0,  0
148119, 1,1,  1,  1,108,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  0,  0,  0
148120, 3,2,  6,  3,  4,  1,  0,  4,  2,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0, 99,  0,  0,  0,  0,  0,  0,  0
148122, 1,1,  1,  1,157,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148156, 2,1,  1,  1,237,  5,  1,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148164, 4,2,  1,  1,117,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  1,  0,  1,  1,  1,  1,  0,  0,  0,  0,  0
148204, 4,2, 11,  4, 98,  4,  0,  0,  0,  0,  0,  2,  2,  3,  2,  6,  0,  0,  0,  6,  6,  0,  0,  1,  2,  0,  6,  1,  1,  0,  0,  0
148205, 4,2,  8,  3,  1,  1,  0,  0,  0,  6,  3,  1,  1,  0,  0,  1,  0,  0,  0,  1,  1,  0,  0,  1,  0,  0,  2,  0,  0,  0,  0,  0
148209, 1,1,  3,  2,  0,  1,  0,  0,  0,  3,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0
148210, 2,1, 11,  4,354,  6,  1,  0,  0, 10,  3,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148241, 2,1,  4,  2, 18,  2,  0,  0,  0,  3,  2,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
148242, 2,1,  5,  3,117,  4,  0,  0,  0,  0,  0,  5,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
148245, 1,1,  1,  1, 77,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148247, 4,2, 44,  4,  3,  1,  0,  0,  0, 27,  4,  6,  3,  1,  1,  9,  0,  1,  1,  9,  9,  0,  0,  1, 99,  0,  6,  1,  1,  0,  0,  0
148344, 1,1,  3,  2,  3,  1,  0,  0,  0,  3,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  1,  0,  0,  1,  0
148345, 0,1,  1,  1,243,  5,  1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148350, 2,1,  1,  1,246,  5,  1,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148351, 1,1, 14,  4,  2,  1,  0,  0,  0, 14,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 14,  0,  0,  0,  0,  0
148402, 3,2,  6,  3, 84,  4,  0,  1,  1,  1,  1,  3,  2,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0, 99,  0,  0,  0,  0,  0,  0,  0
