CASEID,QUESTION,FEMTALK,AW,SAMESEX,VICSEX_C,VICAGE1,VICAGE_C,VRACE_C,SEXRCE_C,OFFSEX_C,OFFAGE1,OFFAGE_C,WOMANAGE,MANAGE,AGEDISP,OFFRAC_C,SXRAC1_C,VREL1_C,OREL1_C,HUSCPD,C1RELATE,INJYR_C,INJMNT_C,INJDTE_C,INJDAY_C,INJTM_C,DETHYR_C,DTHMON_C,DTHDTE_C,DTHTIM_C,SUICIDE,SUICISEX,DTHOF1_C,OSUCID_C,INITIATE,SEVERITY,FORCEDSX,INJURED,LEAVING,LEAVINGW,GOAWAY,INVADE,INVADER,JEALOUSY,JEALR,INFIDLTY,ALCODRUG,ALCDRGR,PREABUSE,OVERALL,OVERALL1,CAUSEF_C,NUMVIC_C,LOCTON_C,PLACE_C,PHOME,PLACE_Q,WPCAL_C,WEAPON_C,FIREARM,WEAPON_Q,WEAPDETA,CLEAR_C,NCHARGE,UCRCODE1,UCRCODE2,UCRCODE3,UCRCODE4,UCRCODE5,DSCHG1,DSCHG2,DSCHG3,DSCHG4,DSCHG5,TMCHG1,CHRGN1,CHRGN2,CHRGN3,CHRGN4,CHRGN5,TMCHG2,TMCHG3,SUMMNEW
 1,1,0,1,0,2,4,32,1,6,1,4,33,32,33,1,1,2,402,401,0,  6,95, 1, 5,5,1920,95, 1, 5,1920,2,0,0,0,1,  10,0,0,3,1,1,1,1,0,0,0,0,0,1, 5,30,110,1,1501,1,1,4, 8, 6,0,  6, 1,5,3,110,650, 500, 999,999, 1, 1,19,88,88, 320, 7, 7,4,1,1, 3,1, 1
 2,1,0,1,1,2,2,25,1,6,3,3,30,25,30,4,1,6,732,732,0,  7,95, 1,31,3, 250,95, 1,31, 250,2,4,0,0,3,  10,0,0,0,0,0,0,0,3,1,3,1,1,0, 2,20,137,1,2100,8,0,7,17,12,0,  8, 4,5,2,110,110, 999, 999,999, 1, 1,88,88,88, 500, 7,11,1,1,1, 1,1, 1
 3,2,0,0,1,2,4,36,1,6,3,3,29,36,29,2,1,6,732,732,0,777,95, 1,22,1,2100,95, 1,22,2100,2,4,0,0,9,  10,0,0,9,9,9,0,0,9,9,9,0,0,0, 1,10,110,1,1101,1,1,1,23, 7,0,999, 1,5,5,110,110, 110, 500,310,34,34,34,34,34,7777, 7,11,7,3,2, 1,1, 1
 4,1,0,1,0,2,4,34,1,6,1,4,37,34,37,1,1,2,402,401,0,  5,95, 2, 4,7,1959,95, 2, 4,1959,2,0,0,0,1,  40,0,0,0,0,0,0,0,0,0,0,9,1,0, 4,50,120,1,1107,1,1,1,28, 7,0,  7,11,5,1,110,999, 999, 999,999, 1,88,88,88,88, 300, 7, 1,1,1,1, 1,1, 1
 5,1,0,1,0,1,4,34,1,2,2,3,28,28,34,4,1,6,101,102,1,  1,95, 2, 6,2, 345,95, 2, 6, 345,2,2,0,0,1,  35,1,0,1,1,0,0,0,0,0,0,9,1,0, 8,30,110,1,1101,1,1,1, 8, 6,0,  6, 1,5,1,110,999, 999, 999,999,24,88,88,88,88,3333, 7, 1,1,1,1, 1,1, 1
 6,1,0,1,0,2,1,31,3,7,1,4,38,31,38,4,3,3,104,103,0,  6,95, 2,16,5, 230,95, 2,16, 230,1,1,4,1,1,  15,0,0,3,1,1,2,1,0,0,0,0,0,0, 5,30,110,1,1101,1,1,2, 3, 1,1,  1, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 200, 7, 1,1,1,1, 1,1, 7
 7,1,0,2,0,2,4,38,1,6,1,4,36,38,36,1,1,2,402,401,0,  5,95, 2,22,4,2330,95, 2,22,2330,2,0,0,0,1,  10,0,0,0,0,0,0,0,1,1,2,0,0,0, 2,20,155,1,1113,1,1,3, 9, 6,0,  6, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 300, 7, 1,1,1,1, 1,1, 1
 8,1,0,1,0,2,3,26,3,7,1,4,34,26,34,4,3,3,102,101,1,  1,95, 2,27,2, 935,95, 2,27, 935,1,1,4,1,1,   0,0,0,3,1,0,0,0,0,0,0,0,0,0, 5,30,110,2,1101,1,1,4, 1, 1,1,  1, 1,1,0,900,999, 999, 999,999,26,88,88,88,88,3333, 9, 1,1,1,1, 1,1, 7
 9,1,0,1,0,1,5,43,1,2,2,5,43,43,43,1,1,6,401,402,0,  3,95, 3,23,5, 410,95, 3,23, 410,2,2,0,0,2,  10,0,0,2,0,0,0,0,0,0,0,0,0,0, 1,10,110,1,1101,1,1,1,14, 2,1,  2, 1,5,2,130,130, 999, 999,999, 1, 3, 8,88,88,  10,10,13,1,1,1, 2,3, 1
10,1,0,1,0,2,4,40,1,6,1,4,31,40,31,2,1,2,402,401,0,  5,95, 3,25,7,1730,95, 3,25,1730,2,0,0,0,1,  10,0,0,3,1,1,2,1,0,0,0,0,0,1, 5,30,110,1,1101,1,1,2,19,11,0, 13, 1,5,3,110,625, 650, 999,999, 1, 1, 1,88,88, 560, 7,12,6,1,1, 3,2, 1
11,1,0,2,0,2,4,31,3,7,1,4,38,31,38,4,3,3,104,103,0,  1,95, 4,27,5,1845,95, 4,27,1845,2,0,0,0,1,  10,0,0,0,0,0,0,0,1,1,2,0,0,0, 6,20,110,1,1101,1,1,1,21,11,0, 13, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 200, 7, 1,1,1,1, 1,1, 1
12,1,0,1,0,2,4,35,1,6,1,5,50,35,50,5,1,2,402,401,0,  5,95, 5, 1,2,2254,95, 5, 1,2254,2,0,0,0,2,  20,0,0,0,0,0,0,0,0,0,0,9,1,0, 3,40,120,1,1501,1,1,3,14, 2,1,  2, 1,5,1,141,999, 999, 999,999, 1,88,88,88,88,  30, 6, 1,1,1,1, 1,1, 1
13,1,0,1,0,2,2,23,1,6,1,2,23,23,23,1,1,2,402,401,0,  5,95, 5,13,7,1400,95, 5,13,1400,2,0,0,0,1,  10,0,0,0,0,0,0,0,0,0,2,0,0,0, 1,10,110,1,1101,1,1,3, 3, 1,1,  1, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 300, 7, 1,1,1,1, 1,1, 1
14,1,0,1,0,2,2,24,3,7,1,2,24,24,24,1,3,3,102,101,1,  1,95, 5,16,3, 236,95, 5,16, 236,2,0,0,0,1,   0,0,0,0,0,0,0,0,1,1,2,1,1,0, 2,20,110,1,1101,1,1,1,13, 2,1,  2, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 360, 7, 1,1,1,1, 1,1, 1
15,1,0,1,0,2,5,44,1,6,1,4,40,44,40,1,1,2,104,103,0,  5,95, 5,20,7,2332,95, 5,20,2332,2,0,0,0,1,9999,0,0,1,1,9,9,9,9,9,9,0,0,1, 8,30,110,1,1107,1,1,1, 5,11,0, 13, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 300, 7, 1,1,1,1, 1,1, 1
16,1,0,1,0,2,4,40,1,6,1,4,34,40,34,2,1,2,402,401,0,  3,95, 6, 3,7,   1,95, 6, 3,   1,2,0,0,0,1,  10,0,0,0,0,0,0,0,0,0,0,3,1,0, 2,20,110,1,1107,1,1,1,25, 9,0, 12, 9,5,1,141,999, 999, 999,999, 1,88,88,88,88,  30, 6, 1,1,1,1, 1,1, 1
18,1,1,1,0,1,5,41,1,2,2,4,35,35,41,4,1,6,101,102,1,  1,95, 5,19,6,   5,95, 6, 9,1902,2,2,0,0,1,  40,0,1,0,0,0,0,0,2,1,1,2,1,0, 2,20,110,1,1101,1,1,1, 7, 6,0,  6, 1,5,1,110,999, 999, 999,999,22,88,88,88,88,3333, 7, 1,1,1,1, 1,1, 1
19,1,0,1,0,2,2,23,1,6,1,3,26,23,26,1,1,2,104,103,0,  3,95, 6,19,2, 300,95, 6,19, 300,2,0,8,0,9,9999,0,0,0,0,0,0,0,0,0,0,0,0,0, 7,50,135,1,1101,1,1,1,18,11,0, 13, 2,3,0,604,999, 999, 999,999,23,88,88,88,88,3333, 1, 1,1,1,1, 1,1, 8
20,1,0,1,0,2,5,45,1,6,1,5,49,45,49,1,1,2,402,401,0,  6,95, 6,21,4,1342,95, 6,21,1342,1,1,4,1,1,  80,0,0,1,1,0,0,0,0,0,0,0,0,0, 5,30,110,1,1302,5,0,5,11, 3,1,  3, 1,1,0,900,999, 999, 999,999,26,88,88,88,88,3333, 9, 1,1,1,1, 1,1, 7
21,1,0,2,0,2,4,39,1,6,1,4,34,39,34,2,1,2,402,401,0,  3,95, 7, 9,1,1055,95, 7, 9,1055,3,0,0,3,1,  80,0,0,0,0,0,0,0,0,0,0,4,1,0, 3,40,300,1,1101,1,1,1, 8, 6,0,  6, 1,5,2,110,111, 310, 650,999, 1, 1,88,88,88,8888, 7, 5,8,4,1, 7,1, 1
22,1,0,3,0,2,4,32,2,5,1,4,32,32,32,1,2,1,102,101,1,  1,95, 7,10,2, 930,95, 7,10, 930,2,0,0,0,1,  20,0,0,3,1,1,1,1,0,0,0,0,0,0, 5,30,110,1,1107,1,1,2,24, 7,0,  7, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 300, 7, 1,1,1,1, 1,1, 1
23,1,0,3,0,2,4,37,2,5,1,4,36,37,36,1,3,3,402,401,0,  5,95, 7,15,7, 136,95, 7,15, 136,2,0,0,0,1,  40,0,0,0,0,0,0,0,0,0,0,3,1,0, 1,10,110,1,1101,1,1,1, 5,11,0, 13,12,5,1,110,999, 999, 999,999, 1,88,88,88,88, 290, 7, 1,1,1,1, 1,1, 1
24,1,0,1,0,2,2,25,1,6,1,4,35,25,35,5,1,2,402,401,0,  3,95, 8,14,2, 135,95, 8,14, 135,2,0,0,0,1,  10,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,10,110,1,1304,5,0,7, 9, 6,0,  6, 1,5,2,110,410, 999, 999,999, 1, 1,88,88,88, 350, 7, 3,1,1,1, 4,1, 1
