,id,abuse_past_year,abuse_status,length_relationship,partner_abusive,num_abusers,num_children,pregnant,beaten_while_pregnant,support_score,guns_in_home,jealous_past_year,limit_family_contact,location_tracking,threat_hit,thrown_object,push_shove,slap,kick_punch,hit_object,beaten,choked,threat_knife,threat_gun,rape_with_threat,power_scale,harass_scale,id_age,age_disparity,children_not_partner,same_sex_relationship,partner_drug_use,partner_alcohol_use,threat_suicide,partner_reported_child_abuse,partner_arrested,violence_increased,severity_increased,weapon_ever,choked_ever,rape_ever,controlled_ever,jealous,capable_murder,reassault
0,108395,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,3,18,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,108397,1,1,2,1,1,0,0,0,11,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,2,5,30,-1,2,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1.0
2,108399,1,1,5,1,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,2,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
3,108443,1,1,2,1,1,0,1,0,12,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,3,5,19,0,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0.0
4,108444,1,1,2,1,1,1,0,0,11,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,3,18,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1.0
5,108456,1,1,2,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2,8,18,-1,5,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1.0
6,108460,1,1,3,1,1,1,0,1,10,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,2,2,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0
7,108525,1,1,4,1,2,2,0,0,11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,36,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
8,108562,1,1,5,1,1,2,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,7,32,-1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1.0
9,109304,0,0,5,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
10,109327,0,0,5,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
11,109335,0,0,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,109400,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
